"time","LT0","LT1","RBC0","RBC1","GM0","GM1","BMrec0","BMrec1","cd4rec0","cd8rec0","cd4rec1","cd8rec1"
180.5,1159.05373807076,115.905373807074,17646707074022.7,1764670707402.24,5840474189.71014,584047418.97101,614252694.290515,61425269.4290514,187894548.28807,54180798.021441,18817808.7862394,5421898.09385597
181,1159.05460398543,115.90546039854,17647966595972,1764796659597.18,5840516019.65176,584051601.965173,614314530.772999,61431453.0772998,188948427.657214,54496885.1681958,18923622.5370979,5453566.71867763
181.5,1159.05544972103,115.905544972101,17649204681015.3,1764920468101.5,5840556878.54368,584055687.854365,614375898.188649,61437589.8188649,190003408.095904,54813422.2567144,19029550.9793318,5485281.03027979
182,1159.05627575666,115.905627575663,17650421696082.4,1765042169608.22,5840596789.33688,584059678.933684,614436800.060806,61443680.0060805,191059477.784187,55130406.1620366,19135592.9592164,5517040.72119386
182.5,1159.05708255103,115.9057082551,17651617995112.3,1765161799511.2,5840635774.01019,584063577.401015,614497239.823194,61449723.9823194,192116625.209824,55447833.8404013,19241747.3532662,5548845.49198675
183,1159.05787055237,115.905787055235,17652793926075.2,1765279392607.5,5840673854.04183,584067385.404179,614557220.888658,61455722.0888659,193174838.937311,55765702.2681753,19348013.0456727,5580695.04524886
183.5,1159.05864019783,115.905864019781,17653949830793.7,1765394983079.35,5840711050.38169,584071105.038165,614616746.642993,61461674.6642995,194234107.628168,56084008.4472269,19454388.9302885,5612589.08612343
184,1159.05939191408,115.905939191406,17655086045174.6,1765508604517.43,5840747383.48019,584074738.348015,614675820.447231,61467582.0447232,195294420.033016,56402749.4028265,19560873.9098447,5644527.32209836
184.5,1159.06012611868,115.906012611865,17656202900127.5,1765620290012.72,5840782873.35349,584078287.335345,614734445.64687,61473444.5646872,196355764.960355,56721922.1753951,19667466.8929077,5676509.46219524
185,1159.06084322246,115.906084322244,17657300723459.1,1765730072345.87,5840817539.69784,584081753.96978,614792625.590717,61479262.5590719,197418131.213427,57041523.8038051,19774166.7877251,5708535.21532845
185.5,1159.06154361886,115.906154361884,17658379831521.4,1765837983152.11,5840851401.3773,584085140.137725,614850363.540159,61485036.354016,198481507.893088,57361551.4054874,19880972.5317517,5740604.29817854
186,1159.062227699,115.906222769898,17659440540816,1765944054081.57,5840884477.14731,584088447.714726,614907662.791941,61490766.2791942,199545883.987279,57682002.0678466,19987883.0516124,5772716.42451697
